ID base,Exercício base,Resultado final,Ordem candidato,Nome candidato,Índice de similaridade (não é probabilidade),Equipamento,Grupo catálogo,Diferenças / justificativa,Referências no catálogo,Fonte catálogo
5697,Lombar Máquina,Correspondência forte,1,Lever Back Extension (version 2),95,Leverage machine,"Back, Hips","Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!2236 (ID 2266); Animated GIFs!2125 (ID 226613),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5697,Lombar Máquina,Correspondência forte,2,Lever Back Extension (female),95,Leverage machine,Hips,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!3573 (ID 3607); Animated GIFs!3448 (ID 360713); Videos!2396 (ID 360712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5697,Lombar Máquina,Correspondência forte,3,Lever Back Extension (version 2) (female),95,Leverage machine,Back,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!5015 (ID 5184); Animated GIFs!574 (ID 057313); Animated GIFs!4885 (ID 518413); Videos!477 (ID 057312); Videos!1540 (ID 226612); Videos!3445 (ID 518412),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5698,Remada Máquina Aberta,Revisar,1,Lever Seated Row,65,Leverage machine,Back,não descrito no candidato: wide; variação adicional no candidato: seated,Illustrations!1348 (ID 1350); Illustrations!2216 (ID 2246); Illustrations!2235 (ID 2265); Animated GIFs!1334 (ID 135013); Animated GIFs!2124 (ID 226513); Videos!1049 (ID 135012); Videos!1520 (ID 224612); Videos!1539 (ID 226512); Videos!5173 (ID 701712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5698,Remada Máquina Aberta,Revisar,2,Lever Unilateral Row,63,Leverage machine,Back,não descrito no candidato: wide; variação adicional no candidato: unilateral,Illustrations!1311 (ID 1313); Animated GIFs!1297 (ID 131313); Videos!1025 (ID 131312),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5698,Remada Máquina Aberta,Revisar,3,Lever High Row (male),56,Leverage machine,Back,não descrito no candidato: wide; variação adicional no candidato: high,Videos!8590 (ID 1063812),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5699,Puxada Máquina,Revisar,1,Lever Front Pulldown,78,Leverage machine,Back,variação adicional no candidato: front,Illustrations!580 (ID 0579); Illustrations!5777 (ID 7071); Animated GIFs!580 (ID 057913); Animated GIFs!5641 (ID 707113); Videos!483 (ID 057912); Videos!5227 (ID 707112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5699,Puxada Máquina,Revisar,2,Lever Cross Lat Pulldown (male),74,Leverage machine,Back,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!5752 (ID 6881); Animated GIFs!5616 (ID 688113); Videos!5037 (ID 688112); Videos!5333 (ID 717912); Videos!8724 (ID 1077212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5699,Puxada Máquina,Revisar,3,Lever Cable Rear Pulldown,68,Leverage machine,Back,variação adicional no candidato: cable,Illustrations!1861 (ID 1863); Animated GIFs!1844 (ID 186313),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5700,Crucifixo Inverso Máquina,Revisar,1,Lever Seated Reverse Fly,79,Leverage machine,Shoulders,variação adicional no candidato: seated,Illustrations!603 (ID 0602); Illustrations!2789 (ID 2822); Animated GIFs!603 (ID 060213); Animated GIFs!2678 (ID 282213); Videos!504 (ID 060212); Videos!1920 (ID 282212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
